Etichetta,Coordinate,Indirizzo,Posti,Posti accessibilità,Distanza dal Comune in linea d'aria,Lunghezza percorso dal Comune,Dislivello
Park Fratta Terme,"44.14280, 12.10031","Via Loreta 6, Bertinoro, Forlì-Cesena, Italy",50,SI,2700,6000,196
Park 1,"44.14568, 12.13380","Largo Cairoli 6, Bertinoro, Forlì-Cesena, Italy",50,SI,383,584,30
Park 2,"44.14785, 12.13230","Via del Soccorso 6, Bertinoro, Forlì-Cesena, Italy",25,SI,171,350,21
Park 3 - Rocca,"44.14764, 12.13268","Via Aldruda Frangipane 6, Bertinoro, Forlì-Cesena, Italy",25,SI,176,360,29
Park 4 - Via dei Santi,"44.15013, 12.13201","Via dei Santi 1, Bertinoro, Forlì-Cesena, Italy",25,SI,165,198,20
Park 5 - Badia,"44.15115, 12.13390","Via Badia 150, Bertinoro, Forlì-Cesena, Italy",50,SI,217,613,78
Park SN1,"44.14933, 12.13281","Via Guglielmo Oberdan 6, Bertinoro, Forlì-Cesena, Italy",10,SI,63,69,0
Park SN2,"44.14960, 12.13286","Via Arrigo Mainardi 6, Bertinoro, Forlì-Cesena, Italy",1,SI,73,77,10
Park Municipio,"44.14917, 12.13364","Piazza Libertà 1, Bertinoro, 47032, Forlì-Cesena, Italy",5,SI,10,10,0
Park Scuole,"44.14698, 12.13643","Via Salvador Allende, Bertinoro, Forlì-Cesena, Italy",25,SI,333,774,54
